properties.name,properties.headline,properties.article
Massachusetts,5.0,"Brian A. Kyes, Joshua S. Levy, Justice Myong J. Joun, Julia Kobick, Judge Margaret R. Guzman"
California Northern,7.0,"Judge Jacqueline Corley, Judge Trina Thompson, P. Casey Pitts, Judge Rita F. Lin, Araceli Martinez-Olguin"
California Northern,7.0,"Judge Jacqueline Corley, Judge Trina Thompson, P. Casey Pitts, Judge Rita F. Lin, Araceli Martinez-Olguin"
Mississippi Northern,1.0,Scott Colom
Texas Western,1.0,Jaime E. Esparza
Texas Southern,2.0,"Judge John A. Kazen, Alamdar S. Hamdani"
Texas Northern,1.0,Leigha Simonton
Ohio Southern,2.0,"Jeffery P. Hopkins, Michael D. Black"
Pennsylvania Western,2.0,"Eric G. Olshan, Stephen Eberle"
Utah,1.0,Justin Martinez
Massachusetts,5.0,"Brian A. Kyes, Joshua S. Levy, Justice Myong J. Joun, Julia Kobick, Judge Margaret R. Guzman"
Washington Western,4.0,"John H. Chun, Kymberly Evanson, Jamal Whitehead, Tiffany M. Cartwright"
Washington Western,4.0,"John H. Chun, Kymberly Evanson, Jamal Whitehead, Tiffany M. Cartwright"
Virginia Western,1.0,Judge Robert Stewart Ballou
Virginia Eastern,4.0,"Judge Elizabeth Hanes, Patricia Tolliver Giles, Michael S. Nachmanoff, Jamar K. Walker"
New York Northern,2.0,"Anne M. Nardacci, Jorge Alberto Rodriguez"
,,
Michigan Eastern,5.0,"Shalina D. Kumar, Susan K. DeClercq, Jonathan J.C. Grey, Brandy R. McMillion, Judge Frances Kay Behm"
,,
Washington Eastern,2.0,"Charnelle Marie Bjelkengren, Judge Mary Katherine Dimke"
Colorado,5.0,"Judge Kato Crews, Gordon Gallagher, Charlotte Sweeney, Judge Nina Nin-Yuen Wang"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
,,
Washington Western,4.0,"John H. Chun, Kymberly Evanson, Jamal Whitehead, Tiffany M. Cartwright"
New York Eastern,6.0,"Hector Gonzalez, Nina Morrison, Orelia Merchant, Ramon Reyes, Nusrat Jahan Choudhury, Natasha C. Merle"
California Eastern,4.0,"Kirk E. Sherriff, Judge Jennifer L. Thurston, Judge Daniel Calabretta, Judge Ana Isabel de Alba"
California Southern,9.0,"Linda Lopez, Jinsook Ohta, Judge Ruth Bermudez Montenegro, Judge Marian Gaston, Judge Andrew G. Schopler, Judge James Edward Simmons Jr, Tara McGrath, Robert Steven Huie"
